#URL http://real-chart.finance.yahoo.com/table.csv?s=NG.L&d=2&e=22&f=2015&g=d&a=11&b=11&c=1995&ignore=.csv
#Downloaded at 22:14 22/03/2015
Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,940.00,942.10,926.50,934.00,8303700,934.00
2015-01-30,951.00,951.00,935.50,935.50,9450100,935.50
2015-01-29,950.30,954.00,941.20,947.50,8919000,947.50
2015-01-28,944.90,951.40,932.62,951.40,9673600,951.40
2015-01-27,934.70,940.40,922.20,939.00,8353200,939.00
2015-01-26,933.50,935.10,927.30,931.80,6887900,931.80
2015-01-23,940.50,941.90,928.00,936.90,8523800,936.90
2015-01-22,934.40,942.40,924.50,935.00,8030600,935.00
2015-01-21,929.20,934.90,925.00,932.80,6970800,932.80
2015-01-20,923.60,927.70,919.90,927.30,6387800,927.30
2015-01-19,917.70,925.70,913.10,921.40,4859400,921.40
2015-01-16,909.00,918.30,903.97,916.90,6789300,916.90
2015-01-15,910.60,914.80,892.30,910.90,10938000,910.90
2015-01-14,912.40,916.20,890.89,905.00,13441600,905.00
2015-01-13,920.80,937.90,918.90,931.00,7210600,931.00
2015-01-12,923.20,929.40,913.50,920.60,3907700,920.60
2015-01-09,930.20,937.00,918.10,922.50,7630500,922.50
2015-01-08,925.70,934.50,920.40,932.40,11094800,932.40
2015-01-07,900.40,925.10,899.40,917.50,12172800,917.50
2015-01-06,911.20,912.10,896.40,896.80,21368400,896.80
2015-01-05,909.20,932.81,907.60,909.70,12507500,909.70
2015-01-02,922.70,922.70,903.70,908.30,4785600,908.30
2015-01-01,918.10,918.10,918.10,918.10,000,918.10
2014-12-31,913.60,920.60,910.30,918.10,1705100,918.10
2014-12-30,921.40,926.20,909.30,910.00,5581000,910.00
2014-12-29,933.10,933.20,914.52,922.30,6226100,922.30
2014-12-26,918.80,918.80,918.80,918.80,000,918.80
2014-12-25,918.80,918.80,918.80,918.80,000,918.80
2014-12-24,922.40,922.40,915.60,918.80,1643800,918.80
2014-12-23,918.80,922.80,913.50,917.00,7234200,917.00
2014-12-22,916.60,922.80,913.40,916.50,9807100,916.50
2014-12-19,914.00,916.00,903.00,912.00,20597300,912.00
2014-12-18,900.00,909.00,888.00,909.00,11412200,909.00
2014-12-17,876.00,891.00,871.50,886.50,12796100,886.50
2014-12-16,866.50,878.50,860.03,877.00,14595900,877.00
2014-12-15,880.00,886.47,860.43,860.50,11311700,860.50
2014-12-12,898.00,898.60,882.50,882.50,8001900,882.50
2014-12-11,908.00,913.00,900.00,900.50,16721300,900.50
2014-12-10,913.00,916.90,907.00,907.00,6624000,907.00
2014-12-09,925.00,930.00,908.05,909.50,9240400,909.50
2014-12-08,930.00,934.00,922.00,927.00,5443900,927.00
2014-12-05,933.00,934.00,925.93,930.00,6739800,930.00
2014-12-04,931.00,931.93,923.50,927.50,9666700,927.50
2014-12-03,936.50,936.90,928.50,929.50,8647400,929.50
2014-12-02,935.00,935.00,928.50,934.50,9338200,934.50
2014-12-01,928.00,936.00,926.26,930.00,8494100,930.00
2014-11-28,939.00,943.50,927.42,930.00,13086800,930.00
2014-11-27,931.00,938.00,928.50,937.00,7717400,937.00
2014-11-26,947.00,947.00,937.00,937.00,6561500,937.00
2014-11-25,941.00,948.50,939.00,942.00,8546600,942.00
2014-11-24,942.00,942.00,935.50,940.50,6888200,940.50
2014-11-21,937.50,938.00,930.50,931.50,9525500,931.50
2014-11-20,945.00,948.16,935.00,936.00,8490700,936.00
2014-11-19,961.50,965.00,954.55,960.50,8244600,945.79
2014-11-18,943.50,955.50,941.58,955.50,6248200,940.87
2014-11-17,934.00,942.50,932.00,940.00,5619000,925.60
2014-11-14,941.50,943.01,935.00,940.00,5716400,925.60
2014-11-13,940.50,943.00,933.00,941.50,10465000,927.08
2014-11-12,940.50,940.50,933.82,937.00,6718100,922.65
2014-11-11,934.50,941.75,930.00,940.00,13168100,925.60
2014-11-10,921.00,930.55,917.40,929.50,5089600,915.26
2014-11-07,920.50,922.75,913.50,919.00,5121400,904.93
2014-11-06,925.00,925.12,912.00,917.00,9258000,902.96
2014-11-05,916.50,925.25,915.00,925.00,5843900,910.83
2014-11-04,912.00,920.50,907.00,912.00,11279300,898.03
2014-11-03,924.50,925.00,910.00,914.50,6408600,900.49
2014-10-31,922.50,927.00,918.00,926.00,8760700,911.82
2014-10-30,904.50,917.00,898.00,914.00,7568200,900.00
2014-10-29,903.00,904.80,897.00,903.00,5136600,889.17
2014-10-28,898.50,901.00,895.00,900.00,9545800,886.22
2014-10-27,899.00,899.00,890.00,894.00,4381600,880.31
2014-10-24,896.50,896.50,887.00,891.00,6455800,877.35
2014-10-23,887.50,894.50,882.00,894.00,6211900,880.31
2014-10-22,876.50,888.50,869.82,885.00,9934300,871.45
2014-10-21,873.50,878.00,866.00,878.00,8036400,864.55
2014-10-20,875.00,876.95,862.04,872.50,6682400,859.14
2014-10-17,864.00,874.50,859.50,873.00,9580600,859.63
2014-10-16,876.00,878.00,853.78,864.50,14354000,851.26
2014-10-15,883.50,883.50,864.00,869.50,12109800,856.18
2014-10-14,867.50,880.50,865.50,879.00,9709300,865.54
2014-10-13,868.50,877.50,865.00,872.00,16360500,858.65
2014-10-10,874.50,880.50,870.50,870.50,7294600,857.17
2014-10-09,884.50,885.31,873.50,876.00,8130100,862.58
2014-10-08,874.50,882.47,874.00,877.00,7036600,863.57
2014-10-07,880.50,883.39,872.20,875.50,6268200,862.09
2014-10-06,886.00,888.00,879.50,881.00,5602700,867.51
2014-10-03,897.00,899.00,875.50,885.00,8245400,871.45
2014-10-02,887.50,887.50,869.50,869.50,9429800,856.18
2014-10-01,889.00,892.95,881.80,886.00,6094600,872.43
2014-09-30,891.50,894.00,885.00,888.00,7011800,874.40
2014-09-29,881.00,888.50,877.00,886.50,6028200,872.92
2014-09-26,878.00,881.30,875.50,879.00,3788200,865.54
2014-09-25,884.00,886.82,875.50,877.50,4927300,864.06
2014-09-24,881.50,888.50,877.50,882.00,6977800,868.49
2014-09-23,888.50,889.30,873.50,881.00,10123400,867.51
2014-09-22,887.50,893.00,884.62,892.00,4887200,878.34
2014-09-19,895.00,896.03,886.37,886.50,13897800,872.92
2014-09-18,888.50,889.00,882.50,888.50,7338400,874.89
2014-09-17,889.00,889.78,883.32,884.00,4675500,870.46
2014-09-16,899.00,899.00,884.00,887.00,7530900,873.42
2014-09-15,895.00,898.50,891.50,895.50,4996900,881.79
2014-09-12,903.50,907.11,895.50,897.50,6323200,883.75
2014-09-11,902.50,904.00,895.00,903.50,7147600,889.66
2014-09-10,904.50,906.91,898.00,902.50,8158000,888.68
2014-09-09,910.00,914.50,906.50,909.50,4921500,895.57
2014-09-08,911.50,915.00,908.00,914.50,4600100,900.49
2014-09-05,912.00,916.00,908.05,916.00,4004900,901.97
2014-09-04,908.50,911.50,905.50,911.00,5330500,897.05
2014-09-03,903.50,912.53,902.55,910.00,4971300,896.06
2014-09-02,905.00,906.00,891.00,902.50,7288000,888.68
2014-09-01,897.50,904.50,897.50,902.50,3038600,888.68
2014-08-29,899.00,901.50,894.50,899.00,5884900,885.23
2014-08-28,889.50,899.50,888.08,896.50,5117200,882.77
2014-08-27,890.50,893.00,882.03,888.50,7669200,874.89
2014-08-26,889.00,892.00,880.16,892.00,4990000,878.34
2014-08-25,885.00,885.00,885.00,885.00,000,871.45
2014-08-22,890.00,891.50,882.50,885.00,4434100,871.45
2014-08-21,890.00,893.50,883.00,887.50,6074000,873.91
2014-08-20,883.50,890.50,881.55,887.00,5776500,873.42
2014-08-19,882.50,882.50,871.94,881.50,4033600,868.00
2014-08-18,881.00,886.50,873.00,877.00,4991000,863.57
2014-08-15,874.00,881.91,873.00,875.00,5846200,861.60
2014-08-14,862.50,873.50,858.00,870.50,5153500,857.17
2014-08-13,862.00,862.00,852.50,861.00,5145200,847.81
2014-08-12,852.00,854.50,843.10,851.00,3876200,837.97
2014-08-11,850.50,855.50,847.70,854.00,4530100,840.92
2014-08-08,843.00,851.50,839.86,846.00,5755400,833.04
2014-08-07,843.00,850.50,838.50,847.50,5994900,834.52
2014-08-06,848.50,856.50,846.00,846.00,15893400,833.04
2014-08-05,846.50,852.10,843.00,850.00,5433600,836.98
2014-08-04,840.00,852.50,835.76,844.50,5812300,831.57
2014-08-01,854.50,856.00,837.50,840.00,7159200,827.14
2014-07-31,861.50,867.63,851.03,855.50,7402500,842.40
2014-07-30,879.00,881.00,864.00,864.50,4372400,851.26
2014-07-29,885.00,885.50,875.00,879.50,4277000,866.03
2014-07-28,872.50,879.50,863.50,879.00,4725700,865.54
2014-07-25,871.50,874.50,867.50,871.00,3944800,857.66
2014-07-24,874.00,875.50,869.00,872.50,3985100,859.14
2014-07-23,871.00,873.00,864.00,873.00,3581800,859.63
2014-07-22,870.00,872.50,867.00,869.00,3821800,855.69
2014-07-21,865.50,870.50,863.00,866.50,3249000,853.23
2014-07-18,859.00,867.50,854.50,864.00,7203000,850.77
2014-07-17,855.00,877.85,847.00,858.00,5586600,844.86
2014-07-16,857.50,861.55,853.00,858.50,3946000,845.35
2014-07-15,854.00,859.00,851.00,854.00,5200100,840.92
2014-07-14,856.50,857.50,850.55,853.00,3703000,839.94
2014-07-11,850.00,853.00,840.50,851.00,3976900,837.97
2014-07-10,843.50,850.50,843.00,847.00,4745700,834.03
2014-07-09,856.00,856.96,843.00,844.50,6932800,831.57
2014-07-08,849.50,853.50,848.00,850.00,5718800,836.98
2014-07-07,851.50,858.00,848.00,849.50,4263900,836.49
2014-07-04,851.50,853.50,844.00,850.50,4596300,837.47
2014-07-03,860.50,864.00,851.00,853.50,6638700,840.43
2014-07-02,855.50,863.50,854.00,857.00,6506200,843.88
2014-07-01,843.00,855.50,840.50,855.50,6853100,842.40
2014-06-30,836.00,845.00,836.00,840.00,6676200,827.14
2014-06-27,842.00,842.00,835.00,837.00,6157100,824.18
2014-06-26,842.50,844.00,837.50,841.50,7760000,828.61
2014-06-25,840.50,841.00,837.00,839.50,5274100,826.64
2014-06-24,848.00,849.50,838.88,843.50,5398000,830.58
2014-06-23,847.00,849.50,843.50,844.50,5561000,831.57
2014-06-20,843.50,847.00,842.00,843.50,9601700,830.58
2014-06-19,845.00,847.50,840.55,844.50,5257500,831.57
2014-06-18,842.00,845.14,836.50,842.50,5496500,829.60
2014-06-17,838.00,842.00,837.50,839.00,5517800,826.15
2014-06-16,836.50,842.00,834.03,839.50,9432800,826.64
2014-06-13,838.00,845.00,833.50,835.00,8046300,822.21
2014-06-12,832.50,862.66,831.08,838.50,8665600,825.66
2014-06-11,835.00,863.00,829.50,831.00,15151300,818.27
2014-06-10,833.50,838.50,830.50,831.00,8463400,818.27
2014-06-09,851.00,852.00,837.50,839.00,5557800,826.15
2014-06-06,834.00,850.69,831.50,848.50,10345400,835.51
2014-06-05,831.00,837.29,829.00,831.50,10357700,818.77
2014-06-04,848.00,850.50,827.50,830.50,16331000,817.78
2014-06-03,894.00,895.69,874.50,877.50,10949500,836.94
2014-06-02,894.00,897.92,890.16,896.00,4150100,854.59
2014-05-30,886.00,892.18,883.50,890.00,9100500,848.87
2014-05-29,887.00,893.00,883.50,887.00,10835100,846.00
2014-05-28,888.00,895.50,882.50,892.50,6325500,851.25
2014-05-27,886.50,894.38,885.00,889.50,6872500,848.39
2014-05-26,880.46,880.46,880.46,880.46,000,839.77
2014-05-23,880.50,882.50,872.50,880.46,4806100,839.77
2014-05-22,884.50,887.50,876.00,881.00,11348200,840.28
2014-05-21,885.00,889.00,874.50,882.50,8789200,841.71
2014-05-20,894.00,894.00,879.00,884.00,14979700,843.14
2014-05-19,876.50,890.50,874.00,889.50,12428500,848.39
2014-05-16,856.00,876.50,850.36,876.50,10671600,835.99
2014-05-15,860.00,866.00,851.50,863.50,7198600,823.59
2014-05-14,852.00,861.00,849.00,861.00,4975100,821.21
2014-05-13,854.50,855.00,844.00,851.50,5581300,812.14
2014-05-12,855.50,859.50,848.94,851.50,5987100,812.14
2014-05-09,843.50,855.50,839.00,855.00,5532500,815.48
2014-05-08,845.00,849.50,843.11,845.50,5791400,806.42
2014-05-07,841.00,846.50,839.15,844.50,6483800,805.47
2014-05-06,840.00,841.30,837.00,840.00,6801600,801.18
2014-05-05,838.50,838.50,838.50,838.50,000,799.75
2014-05-02,840.00,845.50,835.86,838.50,5723200,799.75
2014-05-01,840.50,844.72,836.50,836.50,3003800,797.84
2014-04-30,841.00,844.50,838.00,840.50,6820600,801.65
2014-04-29,835.00,840.08,831.00,840.00,5198500,801.18
2014-04-28,826.50,831.00,821.35,829.50,9644200,791.16
2014-04-25,817.50,824.00,815.50,823.50,4024800,785.44
2014-04-24,827.00,827.16,813.00,817.00,7235400,779.24
2014-04-23,829.00,832.33,823.00,823.00,6138500,784.96
2014-04-22,827.00,834.00,825.00,831.00,5874200,792.59
2014-04-21,824.00,824.00,824.00,824.00,000,785.92
2014-04-18,824.00,824.00,824.00,824.00,000,785.92
2014-04-17,827.50,830.00,823.50,824.00,5028500,785.92
2014-04-16,828.50,832.79,825.00,829.00,5241800,790.68
2014-04-15,817.50,830.50,815.10,824.00,32545500,785.92
2014-04-14,808.50,815.00,806.22,813.50,5413000,775.90
2014-04-11,817.00,817.00,809.00,809.50,7460300,772.09
2014-04-10,817.00,819.50,812.62,818.50,6206200,780.67
2014-04-09,815.00,819.50,812.50,816.50,6789800,778.76
2014-04-08,815.50,819.50,811.50,816.50,5972800,778.76
2014-04-07,815.00,821.00,813.73,817.00,6835500,779.24
2014-04-04,822.00,824.00,816.50,820.50,6287400,782.58
2014-04-03,823.00,827.00,815.50,818.00,4069500,780.19
2014-04-02,827.50,830.59,822.00,823.50,5114200,785.44
2014-04-01,825.00,828.50,820.21,828.50,8997200,790.21
2014-03-31,833.50,838.00,820.00,822.00,7970100,784.01
2014-03-28,822.00,830.42,817.47,830.00,5352300,791.64
2014-03-27,814.50,820.35,810.20,819.00,5577500,781.15
2014-03-26,819.50,821.50,813.50,816.50,5459600,778.76
2014-03-25,812.00,819.50,808.00,818.50,6036700,780.67
2014-03-24,823.50,823.50,812.50,814.00,5700300,776.38
2014-03-21,817.00,824.00,816.00,822.50,9953200,784.48
2014-03-20,823.00,825.00,815.05,818.00,8077100,780.19
2014-03-19,826.00,830.00,821.83,830.00,5866100,791.64
2014-03-18,824.00,831.00,821.00,828.50,6087700,790.21
2014-03-17,824.50,828.00,819.50,826.00,5490800,787.82
2014-03-14,823.50,827.50,819.50,824.50,6894300,786.39
2014-03-13,829.50,829.50,819.82,822.00,7515000,784.01
2014-03-12,833.00,836.50,828.00,833.00,6713500,794.50
2014-03-11,826.50,835.50,822.50,835.50,6988900,796.88
2014-03-10,822.00,828.50,815.97,824.50,5208800,786.39
2014-03-07,830.00,833.50,820.00,822.00,7445500,784.01
2014-03-06,835.00,835.50,827.50,830.50,4604600,792.12
2014-03-05,837.50,839.50,832.50,835.50,4658000,796.88
2014-03-04,832.00,838.33,829.58,837.00,5742500,798.31
2014-03-03,825.50,835.09,823.50,826.50,7597200,788.30
2014-02-28,834.50,838.15,830.50,834.50,6874000,795.93
2014-02-27,831.50,836.50,823.61,834.50,7168200,795.93
2014-02-26,833.00,833.50,824.00,830.00,5337600,791.64
2014-02-25,840.00,842.50,831.83,836.50,14352100,797.84
2014-02-24,834.50,840.00,828.58,840.00,7180800,801.18
2014-02-21,841.00,842.50,831.00,833.50,9127000,794.98
2014-02-20,827.50,837.14,822.50,836.00,6105400,797.36
2014-02-19,827.00,836.14,823.60,831.50,6853500,793.07
2014-02-18,819.50,827.50,815.00,825.00,6410700,786.87
2014-02-17,811.00,822.50,809.00,820.00,3845000,782.10
2014-02-14,814.00,815.00,809.00,812.50,4752200,774.95
2014-02-13,809.50,813.50,806.00,810.50,4849100,773.04
2014-02-12,815.50,819.00,803.17,809.50,8313900,772.09
2014-02-11,804.00,813.50,801.50,813.50,6718200,775.90
2014-02-10,793.50,800.50,790.66,800.50,5000100,763.50
2014-02-07,789.50,795.75,787.61,792.00,4875200,755.39
2014-02-06,783.00,790.50,778.74,788.50,5576800,752.06
2014-02-05,782.50,786.00,777.50,779.00,6005100,743.00
2014-02-04,790.00,794.50,782.00,782.50,7430900,746.33
2014-02-03,788.00,796.00,786.00,792.00,8051600,755.39
2014-01-31,789.50,793.56,778.00,789.00,7861100,752.53
2014-01-30,777.00,784.50,775.00,782.00,5563300,745.86
2014-01-29,784.00,790.00,774.50,777.50,8906600,741.56
2014-01-28,784.50,789.03,778.50,782.50,6244900,746.33
2014-01-27,790.50,800.00,784.00,784.00,7751800,747.76
2014-01-24,796.50,797.00,788.50,790.00,9168200,753.49
2014-01-23,799.00,809.50,794.00,797.50,6240900,760.64
2014-01-22,792.00,799.56,792.00,798.00,6083500,761.12
2014-01-21,794.50,801.50,789.69,792.00,5739500,755.39
2014-01-20,788.50,806.04,788.00,793.00,3458000,756.35
2014-01-17,784.50,794.00,783.11,788.00,6846500,751.58
2014-01-16,782.50,788.00,778.50,780.50,3872800,744.43
2014-01-15,780.50,784.92,772.00,783.00,5287400,746.81
2014-01-14,773.00,785.00,771.50,780.50,5614000,744.43
2014-01-13,782.00,782.17,774.50,777.00,4323400,741.09
2014-01-10,780.50,782.70,776.00,781.50,5202900,745.38
2014-01-09,775.00,780.50,771.50,775.00,4814800,739.18
2014-01-08,781.50,783.00,769.00,774.00,8646100,738.23
2014-01-07,786.50,788.00,782.00,783.00,3692400,746.81
2014-01-06,789.50,795.00,784.50,785.50,4590400,749.20
2014-01-03,785.50,794.00,784.00,790.50,3356300,753.96
2014-01-02,788.00,792.50,782.50,785.50,5207300,749.20
2014-01-01,788.00,788.00,788.00,788.00,000,751.58
2013-12-31,788.00,791.88,785.50,788.00,1171800,751.58
2013-12-30,793.50,797.50,781.50,786.50,3798700,750.15
2013-12-27,787.50,795.00,784.90,790.50,3828900,753.96
2013-12-26,786.50,786.50,786.50,786.50,000,750.15
2013-12-25,786.50,786.50,786.50,786.50,000,750.15
2013-12-24,781.50,788.00,781.50,786.50,793100,750.15
2013-12-23,786.50,789.50,779.50,788.50,3852600,752.06
2013-12-20,782.50,787.89,775.00,787.00,9968400,750.63
2013-12-19,775.00,787.50,772.62,787.50,7966900,751.10
2013-12-18,770.00,772.00,766.50,770.00,5892000,734.41
2013-12-17,767.00,770.50,764.00,766.00,5850300,730.60
2013-12-16,757.50,770.50,755.50,770.50,6793600,734.89
2013-12-13,748.00,757.00,742.50,756.50,6373800,721.54
2013-12-12,745.00,756.50,743.50,750.00,6805800,715.34
2013-12-11,749.00,753.50,743.00,746.00,5241600,711.52
2013-12-10,747.50,755.00,747.00,748.50,4505800,713.91
2013-12-09,751.50,753.00,745.06,750.50,4456100,715.81
2013-12-06,747.00,752.00,745.00,750.50,5030300,715.81
2013-12-05,746.50,748.88,742.50,746.00,4704800,711.52
2013-12-04,749.50,756.82,746.50,748.50,5976300,713.91
2013-12-03,770.50,773.50,762.50,764.00,4904700,713.33
2013-12-02,775.50,777.84,770.00,771.50,5959100,720.34
2013-11-29,775.50,779.50,771.50,775.00,4919100,723.60
2013-11-28,777.50,777.94,771.50,776.00,4173400,724.54
2013-11-27,777.00,783.50,772.58,775.50,4594800,724.07
2013-11-26,786.00,787.50,771.90,775.00,9674800,723.60
2013-11-25,780.00,786.00,778.11,784.50,5333800,732.47
2013-11-22,775.50,785.14,768.50,780.00,6200300,728.27
2013-11-21,770.00,777.50,753.50,773.50,6459200,722.20
2013-11-20,776.50,781.75,768.00,768.00,7044200,717.07
2013-11-19,775.00,784.50,774.00,779.50,4668000,727.80
2013-11-18,772.00,779.50,766.00,774.50,4899600,723.14
2013-11-15,779.00,781.49,773.00,774.00,4952200,722.67
2013-11-14,782.50,783.68,774.62,781.50,6456500,729.67
2013-11-13,777.00,784.14,771.50,776.50,7019300,725.00
2013-11-12,776.50,781.00,771.29,781.00,4840600,729.21
2013-11-11,774.50,780.00,771.50,778.00,4827100,726.40
2013-11-08,772.00,781.00,768.00,774.00,6909400,722.67
2013-11-07,786.00,786.00,772.50,775.50,5683000,724.07
2013-11-06,786.50,788.00,777.50,783.50,5760900,731.54
2013-11-05,783.50,789.50,777.10,788.00,5591800,735.74
2013-11-04,780.50,788.00,776.62,780.50,4814200,728.74
2013-11-01,787.00,789.50,778.50,780.50,5358600,728.74
2013-10-31,784.50,788.50,780.17,784.50,6890900,732.47
2013-10-30,788.50,792.16,783.50,786.00,4527400,733.87
2013-10-29,787.50,790.50,782.56,788.00,4074900,735.74
2013-10-28,785.00,787.00,779.00,783.50,3654800,731.54
2013-10-25,776.50,783.82,776.00,782.00,4084300,730.14
2013-10-24,780.00,782.50,777.00,779.00,4351700,727.34
2013-10-23,771.50,778.50,768.46,776.50,5880800,725.00
2013-10-22,763.00,772.50,758.00,772.00,6620500,720.80
2013-10-21,764.50,770.50,761.00,766.00,5524100,715.20
2013-10-18,755.00,761.00,749.00,760.50,6907600,710.06
2013-10-17,750.00,755.04,748.37,751.50,4363800,701.66
2013-10-16,757.00,758.00,748.00,752.00,5690400,702.13
2013-10-15,754.00,758.81,750.00,757.00,4199400,706.80
2013-10-14,749.00,756.31,749.00,750.50,3692900,700.73
2013-10-11,750.50,751.00,742.28,748.00,4535900,698.39
2013-10-10,745.00,747.50,735.00,746.50,5559600,696.99
2013-10-09,733.00,745.50,729.50,743.50,6002900,694.19
2013-10-08,742.00,745.18,734.50,735.50,8834600,686.72
2013-10-07,740.50,744.21,736.36,740.50,3518400,691.39
2013-10-04,739.50,746.50,737.00,743.50,4199100,694.19
2013-10-03,745.50,746.50,736.50,739.50,4740900,690.46
2013-10-02,729.00,746.50,725.16,743.00,6875200,693.73
2013-10-01,730.50,732.89,727.50,731.00,4034400,682.52
2013-09-30,732.50,739.11,727.45,730.50,6860800,682.05
2013-09-27,743.00,744.89,735.50,739.00,4208100,689.99
2013-09-26,740.50,746.50,735.50,743.00,6057300,693.73
2013-09-25,747.50,753.50,730.50,737.50,8246100,688.59
2013-09-24,747.50,750.00,744.00,746.50,3866600,696.99
2013-09-23,740.00,749.50,740.00,747.00,5336300,697.46
2013-09-20,757.00,767.00,756.60,758.50,13154800,708.20
2013-09-19,758.00,768.00,756.53,761.50,8553700,711.00
2013-09-18,749.00,751.00,741.00,747.50,5450000,697.93
2013-09-17,746.50,756.08,746.00,747.50,6652200,697.93
2013-09-16,744.00,750.57,741.68,746.00,4035200,696.53
2013-09-13,743.00,748.18,739.50,741.50,5067800,692.33
2013-09-12,738.50,745.06,737.00,743.00,4675600,693.73
2013-09-11,740.00,746.97,736.50,739.00,5291900,689.99
2013-09-10,740.50,744.94,735.12,737.00,5855100,688.12
2013-09-09,742.50,745.00,730.18,737.00,11384000,688.12
2013-09-06,737.00,745.50,733.97,742.00,4241700,692.79
2013-09-05,740.50,744.50,731.50,738.50,5354800,689.52
2013-09-04,748.00,748.50,735.50,737.00,5885500,688.12
2013-09-03,752.00,757.00,744.50,747.00,4700100,697.46
2013-09-02,745.50,754.50,745.50,751.50,2414700,701.66
2013-08-30,747.50,749.47,741.18,742.50,7103400,693.26
2013-08-29,742.00,753.00,739.00,747.00,4270100,697.46
2013-08-28,740.00,745.00,735.50,742.50,4510300,693.26
2013-08-27,745.00,745.50,734.61,740.00,5088100,690.92
2013-08-26,742.50,742.50,742.50,742.50,000,693.26
2013-08-23,739.00,744.75,738.00,742.50,4650000,693.26
2013-08-22,741.00,746.97,733.50,737.50,4794100,688.59
2013-08-21,744.00,744.50,738.00,740.00,7996300,690.92
2013-08-20,730.00,744.94,727.50,743.50,5568300,694.19
2013-08-19,736.00,738.88,732.50,733.50,4278300,684.86
2013-08-16,740.00,766.36,734.00,736.00,7768900,687.19
2013-08-15,750.50,754.50,738.50,740.00,7127400,690.92
2013-08-14,758.00,762.08,748.00,749.00,5120300,699.33
2013-08-13,759.50,764.50,752.50,758.50,4188600,708.20
2013-08-12,768.00,768.50,755.50,758.00,4987500,707.73
2013-08-09,772.50,774.00,766.00,768.00,3674900,717.07
2013-08-08,773.50,775.50,766.50,769.50,5737500,718.47
2013-08-07,779.00,783.00,769.50,771.50,5654500,720.34
2013-08-06,782.00,785.00,775.32,781.00,6581300,729.21
2013-08-05,785.00,791.50,779.00,780.00,3918500,728.27
2013-08-02,793.00,817.75,781.50,783.50,4224800,731.54
2013-08-01,790.00,817.11,788.00,790.50,5354700,738.08
2013-07-31,769.50,791.00,768.50,786.50,7747600,734.34
2013-07-30,766.50,779.09,765.50,769.50,5939400,718.47
2013-07-29,764.50,774.50,760.36,763.00,3926500,712.40
2013-07-26,767.00,770.78,758.50,760.50,3641000,710.06
2013-07-25,769.50,772.50,759.00,765.50,3869000,714.73
2013-07-24,768.50,773.50,762.00,769.00,6361800,718.00
2013-07-23,777.00,780.50,764.50,764.50,6697200,713.80
2013-07-22,774.00,775.03,767.89,773.50,4126500,722.20
2013-07-19,765.50,775.00,765.50,774.50,9698600,723.14
2013-07-18,752.50,768.50,752.50,764.50,6432100,713.80
2013-07-17,761.00,762.50,755.00,755.00,12002900,704.93
2013-07-16,766.00,790.86,762.00,762.00,6070300,711.47
2013-07-15,762.50,765.58,761.50,763.50,4477800,712.87
2013-07-12,762.50,764.58,759.00,760.50,3683300,710.06
2013-07-11,766.50,768.08,759.50,761.50,5885700,711.00
2013-07-10,758.50,762.00,754.00,760.00,5181700,709.60
2013-07-09,758.50,761.00,751.90,758.00,6615100,707.73
2013-07-08,753.00,756.32,749.86,755.00,5318900,704.93
